Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/05/24;16;2;2;1;4;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
2020/05/25;46;10;7;11;3;3;3;2;0;0;1;1;0;1;3;1;0;0;0;0;
2020/05/26;60;8;3;17;15;6;3;0;1;1;1;1;0;0;1;2;0;0;1;0;
2020/05/27;39;8;6;5;12;2;0;1;0;0;0;0;1;0;3;1;0;0;0;0;
2020/05/28;40;4;1;7;11;2;2;1;1;1;0;4;1;1;4;0;0;0;0;0;
2020/05/29;48;8;11;6;8;4;1;0;1;0;2;0;0;0;3;3;0;0;1;0;
2020/05/30;27;4;3;3;6;5;0;0;1;0;1;2;0;0;1;1;0;0;0;0;
2020/05/31;21;3;0;4;5;0;0;1;0;1;1;1;0;0;4;1;0;0;0;0;
2020/06/01;44;13;7;7;4;5;1;1;1;1;1;0;0;1;2;0;0;0;0;0;
2020/06/02;40;7;7;7;10;3;1;0;1;0;0;0;0;0;1;1;0;0;1;1;
2020/06/03;40;6;5;8;7;4;2;2;0;0;2;1;0;0;1;2;0;0;0;0;
2020/06/04;35;4;5;6;7;6;2;1;0;1;1;0;0;0;1;1;0;0;0;0;
2020/06/05;38;3;12;6;6;2;1;2;1;1;1;2;0;0;1;0;0;;0;0;
2020/06/06;19;1;5;1;6;2;0;0;0;0;0;0;0;0;4;0;0;;0;0;
2020/06/07;24;6;2;6;3;1;0;0;1;0;2;0;0;0;3;0;0;;0;0;
2020/06/08;37;9;5;5;9;4;0;0;0;0;1;1;0;1;2;0;0;;0;0;
2020/06/09;45;8;8;8;5;3;2;1;1;3;1;0;0;0;3;0;0;;2;0;
2020/06/10;38;8;8;4;6;5;0;1;0;1;2;1;0;0;2;0;0;;0;0;
2020/06/11;48;8;12;6;8;4;1;0;0;2;1;2;0;1;3;0;0;;0;0;
2020/06/12;33;4;3;7;6;4;3;0;0;1;0;2;0;0;3;0;0;;0;0;
2020/06/13;24;6;3;4;4;1;0;1;1;2;0;1;0;0;1;0;0;;0;0;
2020/06/14;17;6;4;1;3;0;1;0;1;0;1;0;0;0;0;0;0;;0;0;
2020/06/15;33;1;12;5;4;3;2;0;1;0;3;0;0;0;2;0;0;;0;0;
2020/06/16;39;7;6;8;5;5;2;0;0;0;1;3;0;0;2;0;0;;0;0;
